1;Bulbasur;67;7;

1;bulbasaur;69;7;
2;ivysaur;130;10;
3;venusaur;1000;20;
5;charmander;85;6;
6;charmeleon;190;11;
7;charizard;905;17;
10;squirtle;90;5;
11;wartortle;225;10;
12;blastoise;855;16;
14;caterpie;29;3;
15;metapod;99;7;
16;butterfree;320;11;
17;weedle;32;3;
18;kakuna;100;6;
19;beedrill;295;10;
21;pidgey;18;3;
22;pidgeotto;300;11;
23;pidgeot;395;15;
25;rattata;35;3;
27;raticate;185;7;
30;spearow;20;3;
31;fearow;380;12;
32;ekans;69;20;
33;arbok;650;35;
35;pikachu;60;4;
51;raichu;300;8;
53;sandshrew;120;6;
55;sandslash;295;10;
57;nidoran-f;70;4;
58;nidorina;200;8;
59;nidoqueen;600;13;
60;nidoran-m;90;5;
61;nidorino;195;9;
62;nidoking;620;14;
64;clefairy;75;6;
65;clefable;400;13;
66;vulpix;99;6;
68;ninetales;199;11;
71;jigglypuff;55;5;
72;wigglytuff;120;10;
73;zubat;75;8;
74;golbat;550;16;
76;oddish;54;5;
77;gloom;86;8;
78;vileplume;186;12;
80;paras;54;3;
81;parasect;295;10;
82;venonat;300;10;
83;venomoth;125;15;
84;diglett;8;2;
86;dugtrio;333;7;
88;meowth;42;4;
91;persian;320;10;
93;psyduck;196;8;
94;golduck;766;17;
95;mankey;280;5;
96;primeape;320;10;
97;growlithe;190;7;
98;arcanine;1550;19;
99;poliwag;124;6;
100;poliwhirl;200;10;
101;poliwrath;540;13;
103;abra;195;9;
104;kadabra;565;13;
105;alakazam;480;15;
107;machop;195;8;
108;machoke;705;15;
109;machamp;1300;16;
110;bellsprout;40;7;
111;weepinbell;64;10;
112;victreebel;155;17;
113;tentacool;455;9;
114;tentacruel;550;16;
115;geodude;200;4;
117;graveler;1050;10;
119;golem;3000;14;
121;ponyta;300;10;
123;rapidash;950;17;
125;slowpoke;360;12;
127;slowbro;785;16;
132;magnemite;60;3;
133;magneton;600;10;
135;farfetchd;150;8;
137;doduo;392;14;
138;dodrio;852;18;
139;seel;900;11;
140;dewgong;1200;17;
141;grimer;300;9;
143;muk;300;12;
145;shellder;40;3;
146;cloyster;1325;15;
147;gastly;1;13;
148;haunter;1;16;
149;gengar;405;15;
151;onix;2100;88;
154;drowzee;324;10;
155;hypno;756;16;
156;krabby;65;4;
157;kingler;600;13;
158;voltorb;104;5;
159;electrode;666;12;
160;exeggcute;25;4;
161;exeggutor;1200;20;
163;cubone;65;4;
164;marowak;450;10;
168;hitmonlee;498;15;
